form-button-edit;Edit
msg-error-workshopDocIdsNotSet;Workshop Document ID not set.
msg-error-workshopLinkIdNotSet;Workshop Link ID not set in query string.
msg-error-locationIdNotSet;Location ID not set in query string.
msg-error-noWorkshop;Workshop not found.
msg-error-noDocument;Document not found.
msg-error-noEvent;Event not found.
msg-error-noLink;Link not found.
msg-error-noLocation;Location not found.
msg-error-noAccess;You do not have access to edit this.
msg-error-noWorkshopAccess;You do not have access to view this workshop.
msg-error-targetDirNotWritable;Target directory %1$s is not writable.
msg-error-targetDirNotReadable;Target directory is not readable.
msg-error-noHandouts;This workshop has no handouts yet.
msg-error-fileNotFound;File not found in file system.
msg-error-cannotEval;You are an instructor of this event and cannot evaluate it.
msg-error-notAttended;You are not on record as having attended this event.
msg-error-evalEnded;The evaluation period for this event has already ended.
msg-error-alreadyEval;You appear to have already evaluated this event.
msg-error-noAccount;No account exists for this user.
msg-error-notInstructor;You are not an instructor for this event.
msg-error-noAttendees;There are no users registered for the event yet.
msg-error-eventStartsAfter;Event cannot start after the end time.
msg-error-eventTimesEqual;Event start and end times cannot be equal.
msg-error-eventAlreadyScheduled;An event is already scheduled during this time in the selected location.  Please select a new time or location.
msg-error-notAttending;You are not atteding this class, so you cannot cancel it.
msg-info-reindexed;Search was successfully re-indexed.
msg-info-workshopAdded;Workshop was added successfully.
msg-info-workshopModified;Workshop was modified successfully.
msg-info-documentAdded;Document was added successfully.
msg-info-documentModified;Document was modified successfully.
msg-info-documentDeleted;Document was deleted successfully.
msg-info-linkAdded;Link was added successfully.
msg-info-linkModified;Link was modified successfully.
msg-info-linkDeleted;Link was deleted successfully.
msg-info-evalThanks;Thanks for your evaluation!
msg-info-userPromoted;User successfully promoted to attendee list.
msg-info-userAdded;User(s) successfully added.
msg-info-userRemoved;User successfully removed.
msg-info-attendanceRecorded;Attendance succesfully recorded.
msg-info-emailQueued;Email successfully queued.
msg-info-locationAdded;Location added successfully.
msg-info-locationModified;Location edited successfully.
msg-info-locationDeleted;Location deleted successfully.
msg-info-eventSaved;Event information saved successfully.
msg-info-eventAdded;Event added successfully.
msg-info-eventCanceled;Event successfully cancelled.
msg-info-signedUp;You have successfully signed up for <b>%1$s</b>.<br /><br />Your reservation will show up on the homepage.  Should you need to cancel your reservation, you can do so from the "My Events" section on the homepage.
msg-info-canceled;You have successfully canceled your reservation for <b>%1$s</b>.
